Title,url,Word count,# of Links,# of comments,# Images video,Elapsed days,# Shares
What is Machine Learning and how do we use it in Signals?,https://blog.signals.network/what-is-machine-learning-and-how-do-we-use-it-in-signals-6797e720d636,1888,1,2,2,34,200000
10 Companies Using Machine Learning in Cool Ways,,1742,9,,9,5,25000
How Artificial Intelligence Is Revolutionizing the Sector,,962,6,0,1,10,42000
Dbrain and the Blockchain of Artificial Intelligence,,1221,3,,2,68,200000
Nasa finds entire solar system filled with eight planets like our own,,2039,1,104,4,131,200000
5 ways Data Science and Machine Learning impact business,,761,0,,1,14,21000
200 universities just launched 600 free online courses. Here’s the full list.,https://qz.com/1120344/200-universities-just-launched-600-free-online-courses-heres-the-full-list/,6462,600,28,2,170,200000
How Machine Learning can help Cryptocurrency Traders Maximize their Gains,https://cryptovest.com/news/how-machine-learning-can-help-cryptocurrency-traders-maximize-their-gains/?utm_source=SocialAnimal&utm_medium=referral,753,3,0,1,78,77000
Tech companies should stop pretending AI won’t destroy jobs,https://www.technologyreview.com/s/610298/tech-companies-should-stop-pretending-ai-wont-destroy-jobs/,1118,2,,1,62,59400
Artificial intelligence is going to completely change your life,,1581,4,,2,60,35000
Facebook robots shut down after they talk to each other in language only they understand ,,2090,1,95,1,267,100000
A visual introduction to machine learning,http://www.r2d3.us/visual-intro-to-machine-learning-part-1/?utm_source=SocialAnimal&utm_medium=referral,1099,4,,15,1002,350000
10 Breakthrough Technologies 2018,,3900,30,,10,62,20000
Google CEO Sundar Pichai says AI is more profound than electricity or fire,,256,0,27,1,95,29000
How machine learning is changing the financial industry,,1267,2,,4,124,37000
New AI can work out whether you're gay or straight from a photograph,https://www.theguardian.com/technology/2017/sep/07/new-artificial-intelligence-can-tell-whether-youre-gay-or-straight-from-a-photograph,971,10,,1,228,67300
Researchers have linked a human brain to the Internet for the first time ever,https://futurism.com/researchers-have-linked-a-human-brain-to-the-internet-for-the-first-time-ever/,369,6,,1,222,60100
Who’s a good AI? Dog-based data creates a canine machine learning system,https://techcrunch.com/2018/04/11/whos-a-good-ai-dog-based-data-creates-a-canine-machine-learning-system/,635,3,1,2,12,3200
Which One to Choose for Your Problem ,,1631,6,6,9,180,37000
A computer was asked to predict which start-ups would be successful. The results were astonishing,,571,4,,1,277,55000
AI Is Inventing Languages Humans Can’t Understand. Should We Stop It?,https://www.fastcodesign.com/90132632/ai-is-inventing-its-own-perfect-languages-should-we-let-it,1333,8,,4,284,54800
An Artificial Intelligence Developed Its Own Non-Human Language,https://www.theatlantic.com/technology/archive/2017/06/artificial-intelligence-develops-its-own-non-human-language/530436/,364,5,,2,313,54600
Denmark's largest bank is using AI and machine learning to ‘tear everything apart’ – and it’s starting to pay off,,515,2,,5,173,27000
How Artificial Intelligence Is Key for Autonomous Vehicle Development,,1135,8,0,1,146,20000
Machine Learning Zone: OpenAI competition takes on Sonic the Hedgehog,,666,4,0,3,18,2400
How neural networks are trained,https://ml4a.github.io/ml4a/how_neural_networks_are_trained/,8401,30,,21,113,14000
Reverie Labs uses new machine learning algorithms to fix drug development bottlenecks,,787,4,0,1,39,3800
"Machine Learning Applied to Big Data, Explained",,421,2,,1,277,26000
Physicists have discovered what makes neural networks so extraordinarily powerful ,,1065,1,19,1,171,14000
Turning Design Mockups Into Code With Deep Learning,,5892,21,,20,104,7100
A deep-learning machine was trained to spot criminals by looking at mugshots,,908,2,,1,226,14000
Getting Value from MachineLearning Isn’t About Fancier Algorithms — It’s About Making It Easier to Use,,1260,6,4,1,49,3000
The Amazing Ways Tesla Is Using Artificial Intelligence And Big Data,,950,6,,1,106,5600
10 Machine LearningAlgorithms You Should Know to Become a Data Scientist - DZone AI,,1761,49,4,10,30,1500
Google’s Artificial-Intelligence Wizard Unveils a New Twist on Neural Networks,,911,10,23,1,174,8400
and the part artificial intelligence has to play ,,971,5,,2,127,5300
How Amazon Rebuilt Itself Around Artificial Intelligence,,4420,13,12,8,82,3400
Feature Labs launches out of MIT to accelerate the development of machinelearning algorithms,,458,1,0,2,61,2500
CometML wants to do for machine learning what GitHub did for code,,458,3,0,3,19,757
Why it’s a big deal that AI knows how to bluff in poker,,782,8,5,1,176,6400
Discussing the limits of artificial intelligence,,2080,4,0,4,127,3600
Crean inteligencia artificial para evaluar incendios y catástrofes naturales,https://www.fayerwayer.com/2018/04/crean-inteligencia-artificial-evaluar-incendios-catastrofes-naturales,250,4,1,2,1,22
"What's the difference between data science, machinelearning, and artificialintelligence?",http://varianceexplained.org/r/ds-ml-ai/,1763,1,29,1,105,2300
The Artificial Intelligence Startups Redefining Industries,,650,10,0,3,133,2800
Top 20 PythonAI and MachineLearning Open Source Projects,https://www.kdnuggets.com/2018/02/top-20-python-ai-machine-learning-open-source-projects.html,1184,39,8,1,63,1300
5 Key Artificial IntelligencePredictions For 2018: HowMachine Learning Will Change Everything,https://www.forbes.com/sites/bernardmarr/2017/12/18/5-key-artificial-intelligence-predictions-for-2018-how-machine-learning-will-change-everything/,957,9,,1,127,2500
"Pythonovertakes R, becomes the leader in Data Science, MachineLearningplatforms",https://www.kdnuggets.com/2017/08/python-overtakes-r-leader-analytics-data-science.html,627,2,5,4,239,4500
¿Podremos crear máquinas verdaderamente inteligentes?,https://elpais.com/tecnologia/2018/03/27/actualidad/1522139782_730950.html,895,1,13,1,23,422
Artificial Intelligence Isn't Killing Jobs; It's Killing Business Models,,1097,2,,1,89,1600
3 Things AI Can Already Do for Your Company ,,4437,3,2,3,113,2000
10 Ways Machine Learning Is Revolutionizing Manufacturing In 2018,https://www.forbes.com/sites/louiscolumbus/2018/03/11/10-ways-machine-learning-is-revolutionizing-manufacturing-in-2018/#7199e52623ac,1262,10,,10,44,715
10 Ways Machine Learning Is Revolutionizing Marketing,https://www.forbes.com/sites/louiscolumbus/2018/02/25/10-ways-machine-learning-is-revolutionizing-marketing/#4219d395bb64,1738,32,,9,58,907
Top 10 Machine LearningAlgorithms for Beginners,,1813,6,,5,186,2800
A Tour of The Top 10 Algorithms for MachineLearning Newbies,,2400,5,21,11,94,1300
"What’s the difference betweenartificial intelligence, machinelearning, and deep learning? | Qualcomm",https://www.qualcomm.com/news/onq/2017/09/01/whats-difference-between-artificial-intelligence-machine-learning-and-deep,662,2,,4,234,3000
"How Quantum Computers Will Revolutionize ArtificialIntelligence, MachineLearning And Big Data",https://www.forbes.com/sites/bernardmarr/2017/09/05/how-quantum-computers-will-revolutionize-artificial-intelligence-machine-learning-and-big-data/,800,6,,2,231,2800
"Jack Ma: Artificialintelligence, machine learningmay cause World War III",http://www.businessinsider.com/alibaba-stock-price-jack-ma-artificial-intelligence-machine-learning-may-cause-world-war-iii-2017-6,367,5,,1,307,3300
Google and MIT’s new machine learning algorithmsretouch your photos before you take them,,507,8,13,2,265,2600
How to create a NeuralNetwork in JavaScript in only 30 lines of code,,992,10,30,6,250,2300
PythonOvertakes R for Data Science and MachineLearning,https://www.datasciencecentral.com/profiles/blogs/python-overtakes-r-for-data-science-and-machine-learning,499,10,5,2,237,1400
Salesforce created an algorithm that automatically summarizes text using machine learning,,619,10,3,1,345,1800
Construir inteligencia artificial que construya inteligencia artificial,https://www.nytimes.com/es/2017/11/07/inteligencia-artificial-auto-ml-google/,1152,8,,3,168,867
MachineLearningWorkflows in Python from Scratch Part 1: Data Preparation,https://www.kdnuggets.com/2017/05/machine-learning-workflows-python-scratch-part-1.html,2363,4,,4,330,1500
Por qué ‘machine learning’ sera la tecnología más importante en 2018,https://elpais.com/tecnologia/2017/11/28/actualidad/1511866764_933798.html,988,1,0,1,147,631
Get started with machinelearning using Python,https://www.analyticsvidhya.com/blog/2017/05/pydata-amsterdam-2017-machine-learning-deep-learning-data-science/,759,20,1,1,328,1200
MachineLearningExercises in Python: An Introductory Tutorial Series,https://www.kdnuggets.com/2017/07/machine-learning-exercises-python-introductory-tutorial-series.html,1098,8,,3,272,950
"22 talks from PyData 2017 | Deep Learning, MachineLearning & NLP",https://www.analyticsvidhya.com/blog/2017/05/pydata-amsterdam-2017-machine-learning-deep-learning-data-science/,2797,22,7,22,349,1200
La inteligencia artificial ya diagnostica enfermedades tan bien como los médicos,http://www.lavanguardia.com/ciencia/cuerpo-humano/20180223/44950677766/inteligencia-artificial-machine-learning-diagnosticar-enfermedades-medicos-eficiencia.html?platform=hootsuite,1120,2,0,4,60,196
Modern Machine LearningAlgorithms: Strengths and Weaknesses,,2488,11,,5,343,1100
Core ML and Vision: MachineLearning in iOS 11 Tutorial,https://www.raywenderlich.com/164213/coreml-and-vision-machine-learning-in-ios-11-tutorial,2049,12,23,7,319,668
Tutorial to deploy Machine Learning models in Production as APIs (using Flask),https://www.analyticsvidhya.com/blog/2017/09/machine-learning-models-as-apis-using-flask/,2542,2,0,4,208,424
Getting the NDA out of the Way with Machine Learning,https://blog.bigml.com/2018/04/18/getting-the-nda-out-of-the-way-with-machine-learning/,1011,15,0,2,6,8
Tutorial on Automated MachineLearning using MLBox,https://www.analyticsvidhya.com/blog/2017/07/mlbox-library-automated-machine-learning/,2189,3,11,8,292,367
"[Log] 0: Allegro.AI nabs $11M for ‘deep learning as a service’, for businesses to build computer vision products",[Log] 0: https://techcrunch.com/2018/04/25/allegro-ai-nabs-11m-for-a-platform-that-helps-businesses-build-computer-vision-based-services/,1864,6,12,2,1,42406
[Log] 1: Want to fool a computer vision system? Just tweak some colors,[Log] 1: https://techcrunch.com/2018/04/16/want-to-fool-a-computer-vision-system-just-tweak-some-colors/,990,6,7,3,2,1733
[Log] 2: UK report urges action to combat AI bias,[Log] 2: https://techcrunch.com/2018/04/16/uk-report-urges-action-to-combat-ai-bias/,1741,5,10,3,3,35691
[Log] 3: The 10 most exciting open source projects of 2018,[Log] 3: http://blog.honeypot.io/most-exciting-open-source-projects-2018/,1229,5,6,4,4,11061
[Log] 4: Why 2018 will be the year apps go to the edge,[Log] 4: https://techcrunch.com/2018/04/03/why-2018-will-be-the-year-apps-go-to-the-edge/,2975,3,0,2,5,51319
[Log] 5: Arm chips with Nvidia AI could change the Internet of Things,[Log] 5: https://techcrunch.com/2018/03/27/arm-chips-will-with-nvidia-ai-could-change-the-internet-of-things/,1864,1,10,4,6,30756
[Log] 6: Precious uses artificial intelligence to help parents figure out what to do with all their baby photos,[Log] 6: https://techcrunch.com/2018/03/27/precious-uses-artificial-intelligence-to-help-parents-figure-out-what-to-do-with-all-their-baby-photos/,2460,1,12,2,7,58425
[Log] 7: Learning To See – Making deep neural network predictions on live camera input,[Log] 7: http://www.creativeapplications.net/openframeworks/learning-to-see-making-deep-neural-network-predictions-on-live-camera-input/,2136,5,9,3,8,48060
[Log] 8: IBM launches deep learning as a service inside its Watson Studio,[Log] 8: https://techcrunch.com/2018/03/19/ibm-launches-deep-learning-as-a-service-inside-its-watson-studio/,2833,7,0,2,9,0
[Log] 9: Here are 64 startups that launched today at Y Combinator’s W18 Demo Day,[Log] 9: https://techcrunch.com/2018/03/19/here-are-64-startups-that-launched-today-at-y-combinators-w18-demo-day/,1995,7,6,6,10,4988
[Log] 10: Voicery makes synthesized voices sound more like humans,[Log] 10: https://techcrunch.com/2018/03/14/voicery-makes-synthesized-voices-sound-more-like-humans/,2332,5,1,6,11,27984
[Log] 11: MIT’s new chip could bring neural nets to battery-powered gadgets,[Log] 11: https://techcrunch.com/2018/02/14/mits-new-chip-could-bring-neural-nets-to-battery-powered-gadgets/?ncid=rss,1998,6,3,3,12,45455
[Log] 12: Ingenieros de la Universidad de Chile sofistican mecanismos para interactuar con robots,[Log] 12: https://www.fayerwayer.com/2018/01/universidad-chile-interactuar-robots/,3442,3,9,2,13,76585
[Log] 13: Sleep deprivation is making product teams age faster and think slower,[Log] 13: https://mixpanel.com/blog/2018/01/11/well-slept-teams-build-better-products/,2696,6,5,1,14,24264
[Log] 14: Frank Chen will make you a believer in AI,[Log] 14: https://mixpanel.com/blog/2017/12/12/frank-chen-ai-andreessen-horowitz/,1913,5,1,6,15,5261
[Log] 15: Story roundup: data to be grateful for this holiday season,[Log] 15: https://mixpanel.com/blog/2017/11/22/story-roundup-data-to-be-grateful-for/,1858,8,5,2,16,25548
[Log] 16: Story roundup: data to be grateful for this holiday season,[Log] 16: https://mxpnlcms.wpengine.com/blog/2017/11/22/story-roundup-data-to-be-grateful-for/,2457,3,3,4,17,0
[Log] 17: Aprendizaje Profundo: una Guía rápida,[Log] 17: http://www.aprendemachinelearning.com/aprendizaje-profundo-una-guia-rapida/,2592,1,12,6,18,56376
[Log] 18: Principales Algoritmos usados en Machine Learning,[Log] 18: http://www.aprendemachinelearning.com/principales-algoritmos-usados-en-machine-learning/,1718,2,12,2,19,13315
[Log] 19: Aplicaciones del Machine Learning,[Log] 19: http://www.aprendemachinelearning.com/aplicaciones-del-machine-learning/,1293,8,7,6,20,27476
[Log] 20: Mapbox acquires neural network startup Mapdata to help it expand into AR maps,[Log] 20: https://techcrunch.com/2017/11/03/mapbox-acquires-mapdata-to-help-it-expand-into-ar-maps/?ncid=rss,3023,7,6,1,21,55170
[Log] 21: How video game tech makes neural networks possible,[Log] 21: https://techcrunch.com/2017/10/27/how-video-game-tech-makes-neural-networks-possible/?ncid=rss,3485,2,10,6,22,871
[Log] 22: Google introduces Neural Networks API in developer preview of Android 8.1,[Log] 22: https://techcrunch.com/2017/10/25/google-introduces-neural-networks-api-in-developer-preview-of-android-8-1/?ncid=rss,2093,3,14,2,23,39767
"[Log] 23: The Brain and Body Are Really One, Especially When It Comes to Emotions",[Log] 23: http://www.blog-thebrain.org/advanced/2017/10/11/the-brain-and-body-are-really-one-especially-when-it-comes-to-emotions/,1490,7,0,1,24,16390
[Log] 24: The Brain: The History of an Organ Like No Other,[Log] 24: http://www.blog-thebrain.org/advanced/2017/09/26/1395/,1238,6,8,5,25,23832
[Log] 25: Apple’s new TrueDepth Camera System and its Implications,[Log] 25: https://www.cygnismedia.com/blog/true-depth-camera-system/,2583,1,8,6,26,12269
[Log] 26: Frank Lessons on AI from the Developer of the World’s First Hotdog Recognizer,[Log] 26: https://mxpnlcms.wpengine.com/blog/2017/08/31/frank-lessons-on-ai-from-tim-anglade/,1007,2,7,6,27,10574
[Log] 27: Humans Are the Product of Dynamic Processes on Multiple Time Scales,[Log] 27: http://www.blog-thebrain.org/advanced/2017/08/21/humans-are-the-product-of-dynamic-processes-on-multiple-time-scales/,978,8,0,1,28,24206
[Log] 28: Prisma shifts focus to b2b with an API for AI-powered mobile effects,[Log] 28: https://techcrunch.com/2017/08/19/prisma-shifts-focus-to-b2b-with-an-api-for-ai-powered-mobile-effects/?ncid=rss,3019,5,3,2,29,13586
[Log] 29: Teleport’s neural networks let you try before you hair dye,[Log] 29: https://techcrunch.com/2017/08/09/teleports-neural-networks-let-you-try-before-you-hair-dye/?ncid=rss,3289,3,8,6,30,81403
[Log] 30: Facebook finishes its move to neural machine translation,[Log] 30: https://techcrunch.com/2017/08/03/facebook-finishes-its-move-to-neural-machine-translation/?ncid=rss,2347,5,3,1,31,21123
[Log] 31: What you should know about AI,[Log] 31: https://techcrunch.com/2017/08/01/what-you-should-know-about-ai/?ncid=rss,2224,8,2,3,32,32248
[Log] 32: HBO’s Silicon Valley on A.I. driven products: Not HotDog,[Log] 32: https://mxpnlcms.wpengine.com/blog/2017/07/27/ai-driven-products-hbo-silicon-valley/,1778,4,11,6,33,8001
[Log] 33: Why the future of deep learning depends on finding good data,[Log] 33: https://techcrunch.com/2017/07/21/why-the-future-of-deep-learning-depends-on-finding-good-data/?ncid=rss,1150,6,3,4,34,23288
[Log] 34: MIT is building a system that can identify a recipe using pictures of food,[Log] 34: https://techcrunch.com/2017/07/20/mit-is-building-a-system-that-can-identify-a-recipe-using-pictures-of-food/?ncid=rss,2528,5,6,2,35,53720
[Log] 35: Apple launches machine learning research site,[Log] 35: https://techcrunch.com/2017/07/19/apple-launches-machine-learning-research-site/?ncid=rss,2486,1,13,6,36,53449
[Log] 36: Metaphors for the Brain’s Anatomy and Functioning,[Log] 36: http://www.blog-thebrain.org/advanced/2017/07/14/1362/,2317,7,8,5,37,52712
[Log] 37: Computed Curation – Curating photography with neural networks,[Log] 37: http://www.creativeapplications.net/js/computed-curation-curating-photography-with-neural-networks/,2369,3,5,2,38,39681
[Log] 38: MIT CSAIL research offers a fully automated way to peer inside neural nets,[Log] 38: https://techcrunch.com/2017/06/30/mit-csail-research-offers-a-fully-automated-way-to-peer-inside-neural-nets/?ncid=rss,1612,5,5,2,39,39091
[Log] 39: Microsoft launches a new service for training deep neural networks on Azure,[Log] 39: https://techcrunch.com/2017/05/10/microsoft-launches-a-new-service-for-training-deep-neural-networks-on-azure/?ncid=rss,1136,6,14,3,40,28116
"[Log] 40: Someone scraped 40,000 Tinder selfies to make a facial dataset for AI experiments",[Log] 40: https://techcrunch.com/2017/04/28/someone-scraped-40000-tinder-selfies-to-make-a-facial-dataset-for-ai-experiments/?ncid=rss,2721,3,14,6,41,25850
[Log] 41: 10 Machine Learning Examples in JavaScript,[Log] 41: http://tutorialzine.com/2017/04/10-machine-learning-examples-in-javascript/,3480,1,14,3,42,20880
[Log] 42: Neural networks made easy,[Log] 42: https://techcrunch.com/2017/04/13/neural-networks-made-easy/?ncid=rss,1143,8,5,6,43,17145
[Log] 43: Google DeepMind open sources Sonnet so you can build neural networks in TensorFlow even quicker,[Log] 43: https://techcrunch.com/2017/04/07/google-deepmind-open-sources-sonnet-so-you-can-build-neural-networks-in-tensorflow-even-quicker/?ncid=rss,2428,4,10,3,44,57058
"[Log] 44: Google’s smarter, A.I.-powered translation system expands to more languages",[Log] 44: https://techcrunch.com/2017/03/06/googles-smarter-a-i-powered-translation-system-expands-to-more-languages/?ncid=rss,2877,4,2,6,45,19420
[Log] 45: Mark Zuckerberg’s ‘Jarvis’ Addresses AI’s Biggest Challenges,[Log] 45: https://www.cygnismedia.com/blog/artificial-intelligence-challenges/,776,1,7,6,46,3298
[Log] 46: Embark’s self-driving truck is ready to assist human drivers,[Log] 46: https://techcrunch.com/2017/02/24/embarks-self-driving-truck-is-ready-to-assist-human-drivers/?ncid=rss,1284,8,5,2,47,31137
"[Log] 47: ""Zoom, Enhance"" Could Become a Reality, Thanks to Google",[Log] 47: http://www.hongkiat.com/blog/google-zoom-enhance-technology/,1145,6,11,2,48,5153
[Log] 48: FaceApp uses neural networks for photorealistic selfie tweaks,[Log] 48: https://techcrunch.com/2017/02/08/faceapp-uses-neural-networks-for-photorealistic-selfie-tweaks/?ncid=rss,1793,7,13,4,49,34515
[Log] 49: Mark Cuban on Why You Need to Study Artificial Intelligence or You’ll be a Dinosaur in 3 Years,[Log] 49: https://bothsidesofthetable.com/mark-cuban-on-why-you-need-to-study-artificial-intelligence-or-youll-be-a-dinosaur-in-3-years-db3447bea1b4?source=rss----97f98e5df342---4,2904,7,14,1,50,7260
[Log] 50: A First Brain-Imaging Study on the Effects of LSD,[Log] 50: http://www.blog-thebrain.org/advanced/2017/01/09/1281/,1473,3,14,3,51,0
[Log] 51: Mark Zuckerberg’s ‘Jarvis’ Addresses AI’s Biggest Challenges,[Log] 51: http://www.cygnismedia.com/blog/artificial-intelligence-challenges/,2894,5,6,3,52,23152
[Log] 52: Some Amazing Predictions Based on Brain Connectivity,[Log] 52: http://www.blog-thebrain.org/advanced/2016/12/12/some-amazing-predictions-based-on-brain-connectivity/,1932,7,0,2,53,30912
[Log] 53: Google’s AI Experiments help you understand neural networks by playing with them,[Log] 53: http://feedproxy.google.com/~r/Techcrunch/~3/WUoKqCnvY5M/,3225,1,4,3,54,34669
[Log] 54: Facebook Caffe2Go Deep-Learning System Powers Video ‘Style Transfer’ Test,[Log] 54: http://www.adweek.com/socialtimes/caffe2go/647127,3185,4,6,5,55,12740
[Log] 55: Is Machine Learning the Big Bad Wolf of Media? Whisper doesn’t think so.,[Log] 55: https://blog.mixpanel.com/2016/11/08/whisper-machine-learning/,2068,7,3,2,56,36707
[Log] 56: Os nosos centros tecnolóxicos e de investigación presentan este xoves no CESGA os seus avances en tecnoloxías intelixentes,[Log] 56: http://www.codigocero.com/Os-nosos-centros-tecnoloxicos-e-de-investigacion-presentan-este-xoves-no-CESGA,2354,1,8,4,57,1177
[Log] 57: Psychologist Scans Own Brain Twice per Week for a Year and a Half,[Log] 57: http://www.blog-thebrain.org/advanced/2016/10/20/psychologist-scans-own-brain-twice-per-week-for-a-year-and-a-half/,2921,1,13,4,58,48927
"[Log] 58: Deep learning takes on GIFs, fashion, doodles and more at ACM Multimedia",[Log] 58: http://feedproxy.google.com/~r/Techcrunch/~3/HZlZ28umjr4/,2211,8,7,3,59,11055
[Log] 59: A xornada sobre Machine Learning do CESGA abranguerá máis de dúas ducias de relatorios,[Log] 59: http://www.codigocero.com/A-xornada-sobre-Machine-Learning-do-CESGA-abranguera-mais-de-duas-ducias-de,2865,3,8,6,60,49421
[Log] 60: Google unleashes deep learning tech on language with Neural Machine Translation,[Log] 60: http://feedproxy.google.com/~r/Techcrunch/~3/YEhcHjfYfYs/,1674,5,2,2,61,23018
[Log] 61: Facebook’s Artificial Intelligence Research lab releases open source fastText on GitHub,[Log] 61: http://feedproxy.google.com/~r/Techcrunch/~3/ROB5oi8KuFI/,2282,1,1,3,62,54198
[Log] 62: Hearing is like seeing for our brains and for machines,[Log] 62: http://feedproxy.google.com/~r/Techcrunch/~3/E4r0_mb2r9E/,2636,3,10,2,63,659
[Log] 63: The hard thing about machine learning,[Log] 63: https://blog.mixpanel.com/2016/08/03/hard-thing-about-machine-learning/,774,3,1,1,64,16641
[Log] 64: Convolutional Neural Networks in iOS 10 and macOS,[Log] 64: http://invasivecode.tumblr.com/post/147955476650,1030,8,11,1,65,19828
[Log] 65: Researchers use neural networks to turn face sketches into photos,[Log] 65: http://feedproxy.google.com/~r/Techcrunch/~3/CXC0RaDqeKo/,734,8,9,2,66,15047
[Log] 66: Machine Learning in Swift for iOS,[Log] 66: http://invasivecode.tumblr.com/post/146272280155,743,3,5,4,67,16160
[Log] 67: Introducing Gravity Jack Research: An Inside Look At The Heart of Our Innovation Center,[Log] 67: https://gravityjack.com/news/gravity-jack-research-inside-look/,1514,2,7,1,68,34065
"[Log] 68: Twitter pays up to $150M for Magic Pony Technology, which uses neural networks to improve images",[Log] 68: http://feedproxy.google.com/~r/Techcrunch/~3/YL8NcsD8nog/,2854,3,8,2,69,17124
"[Log] 69: Learn deeply, but baby, don’t fear the Skynet",[Log] 69: http://feedproxy.google.com/~r/Techcrunch/~3/Y2-DiQSRzRo/,1443,5,12,4,70,15512
[Log] 70: Neural networks: Artificial intelligence and our future,[Log] 70: http://feedproxy.google.com/~r/Techcrunch/~3/vt6py_Preqg/,1817,5,13,2,71,9085
[Log] 71: Conscious Awareness and Integration of Brain Activity: They Go Together,[Log] 71: http://www.blog-thebrain.org/advanced/2016/06/13/conscious-awareness-and-integration-brain-activity-they-go-together/,3241,8,4,4,72,81025
[Log] 72: What Should We Do With All of That Content?,[Log] 72: http://www.adweek.com/socialtimes/what-should-we-do-with-all-of-that-content/638662,1266,6,4,2,73,16458
[Log] 73: ¿Qué es el Machine Learning?,[Log] 73: http://jarroba.com/que-es-el-machine-learning/,2275,4,2,6,74,55738
[Log] 74: Magic Pony’s neural network dreams up new imagery to expand an existing picture,[Log] 74: http://feedproxy.google.com/~r/Techcrunch/~3/V2vOBiN91Y8/,1264,1,1,5,75,18012
[Log] 75: From recording to reacting: Neural networks are changing notions of surveillance,[Log] 75: http://feedproxy.google.com/~r/Techcrunch/~3/-ELdi2uNQ2A/,2212,3,13,6,76,35392
[Log] 76: NVIDIA announces a supercomputer aimed at deep learning and AI,[Log] 76: http://feedproxy.google.com/~r/Techcrunch/~3/3zv0iKyNavw/,1871,6,14,4,77,26194
"[Log] 77: Following Artificial Intelligence Breakthrough, European Go Champion Loses Against Computer",[Log] 77: http://feedproxy.google.com/~r/Techcrunch/~3/R83TWzcalgI/,2513,7,3,4,78,55914
[Log] 78: Years & Years Releases Music Video Created With Google’s DeepDream Technology,[Log] 78: http://feedproxy.google.com/~r/Techcrunch/~3/WH1cezmHceA/,1443,7,8,1,79,3968
[Log] 79: Facebook Updates Progress on Artificial Intelligence,[Log] 79: http://www.adweek.com/socialtimes/artificial-intelligence-update/629412,912,5,14,6,80,1824
[Log] 80: On Neuromarketing and Conversions – Interview with Tim Ash [+Webinar],[Log] 80: http://blog.getresponse.com/on-neuromarketing-and-conversions-interview-with-tim-ash-webinar.html,2366,2,12,1,81,2958
[Log] 81: Understanding Artificial Intelligence &#8211; and Why We Fear It,[Log] 81: http://rss.feedsportal.com/c/35261/f/656072/s/481c0ec8/sc/14/l/0L0Shongkiat0N0Cblog0Cunderstanding0Eartificial0Eintelligence0C/story01.htm,1542,6,1,6,82,22359
[Log] 82: The “Coming Out” of the Electrical Synapse,[Log] 82: http://www.blog-thebrain.org/advanced/2015/03/14/988/,1201,1,0,1,83,8707
[Log] 83: How Google Uses Machine Learning And Neural Networks To Optimize Data Centers,[Log] 83: http://feedproxy.google.com/~r/Techcrunch/~3/pqloDGxiqb8/,3239,3,11,1,84,3239
"[Log] 84: Zuck Knows If You've Been Bad Or Good, So Be Good For Goodness' Sake",[Log] 84: http://feedproxy.google.com/~r/Techcrunch/~3/tFA-5Utj6vA/,2566,3,8,4,85,25019
"[Log] 85: Microsoft Improves Windows Phone Voice Recognition: 2X Faster, 15% More Accurate",[Log] 85: http://feedproxy.google.com/~r/Techcrunch/~3/8me_bd7gHv0/,2089,4,4,1,86,49614
[Log] 86: How Google's Acquisition Of DNNresearch Allowed It To Build Its Impressive Google+ Photo Search In 6 Months,[Log] 86: http://feedproxy.google.com/~r/Techcrunch/~3/vW_ie-I_fss/,1530,4,12,3,87,33660
[Log] 87: Google's Cloud Is Eating Apple's Lunch,[Log] 87: http://feedproxy.google.com/~r/Techcrunch/~3/gRBLqOod1rs/,953,6,13,2,88,5956