userId,repoId,rating
1,1,2
1,2,3
1,3,4
1,4,5
1,5,3
1,6,1
1,7,5
1,8,1
1,80,5
1,10,4
1,11,2
1,12,1
1,13,1
1,14,8
1,15,5
1,16,2
1,17,1
1,18,2
1,19,2
1,20,2
2,21,1
2,22,1
2,23,1
2,14,8
3,7,5
3,11,2
3,24,3
3,14,8
3,25,2
3,26,1
3,27,1
3,28,1
3,29,1
3,30,1
3,31,1
4,7,5
4,14,8
4,32,6
4,33,3
4,34,6
4,35,3
4,36,4
4,37,1
4,38,1
4,39,5
4,40,3
4,41,1
4,42,2
4,43,1
4,44,1
4,45,1
4,46,1
4,47,1
4,48,1
4,49,1
4,50,2
5,4,5
5,51,1
5,52,1
5,53,1
5,54,1
5,55,1
5,56,1
5,57,1
5,58,1
6,59,1
6,60,1
6,61,1
6,62,7
7,62,7
7,63,7
7,64,1
7,65,1
7,66,1
7,67,1
7,68,1
7,69,1
7,70,1
7,71,1
8,63,7
8,36,4
8,72,1
8,73,3
8,74,1
8,75,3
8,76,5
8,77,1
8,78,3
8,79,2
8,80,5
8,81,1
9,82,4
9,83,1
9,84,1
9,85,3
10,4,5
10,62,7
10,86,5
10,87,3
10,88,1
10,89,1
10,90,1
10,91,1
10,92,3
11,63,7
11,62,7
11,93,2
11,94,2
11,95,3
12,5,3
12,85,3
12,96,1
12,97,3
12,98,2
12,99,1
12,100,4
12,101,1
12,102,1
12,103,1
12,104,1
13,105,4
13,106,3
14,32,6
14,87,3
14,95,3
14,76,5
14,100,4
14,106,3
14,62,7
14,107,5
14,108,2
14,109,2
14,110,2
14,86,5
15,18,2
15,80,5
15,98,2
15,62,7
15,111,2
15,112,3
15,113,2
16,92,3
16,114,3
16,115,2
17,34,6
17,15,5
17,80,5
17,100,4
17,50,2
17,112,3
17,39,5
17,106,3
17,107,5
17,108,2
17,109,2
17,110,2
17,111,2
17,112,3
17,113,2
17,114,3
17,115,2
17,116,3
17,117,1
17,118,3
17,119,2
17,120,2
17,121,3
17,122,3
17,123,2
17,124,1
17,125,2
17,126,1
17,127,1
17,128,2
17,129,1
17,130,1
17,131,1
17,132,1
17,133,1
17,134,1
17,135,1
17,136,1
18,62,7
18,34,6
18,128,2
18,92,3
18,39,5
18,137,1
18,138,1
18,139,1
18,140,1
19,32,6
19,63,7
19,76,5
19,80,5
19,141,1
19,142,1
19,143,1
19,144,4
20,32,6
20,2,3
20,33,3
20,145,2
20,146,1
20,147,1
1,144,4
1,40,3
1,42,2
1,122,3
1,145,2
1,100,4
1,85,3
1,148,1
21,9,1
21,63,7
21,86,5
21,1,2
21,33,3
21,3,4
21,4,5
21,73,3
21,34,6
21,94,2
21,7,5
21,35,3
21,36,4
21,75,3
21,76,5
21,78,3
21,79,2
21,14,8
21,105,4
21,15,5
21,16,2
21,19,2
21,114,3
21,39,5
21,144,4
21,120,2
21,123,2
21,149,2
22,2,3
22,34,6
22,144,4
22,150,1
22,151,1
22,152,2
23,32,6
23,93,2
23,63,7
23,86,5
23,82,4
23,95,3
23,105,4
23,25,2
23,122,3
23,153,2
23,154,2
23,155,1
23,156,2
23,157,1
23,158,1
24,10,4
24,14,8
24,20,2
24,40,3
24,121,3
24,159,1
24,160,3
24,161,1
25,107,5
25,5,3
25,160,3
25,76,5
25,97,3
25,105,4
25,15,5
25,118,3
25,39,5
25,119,2
26,86,5
26,153,2
26,87,3
26,116,3
26,24,3
26,14,8
26,121,3
26,152,2
26,162,2
26,163,1
27,32,6
27,3,4
27,107,5
28,107,5
28,36,4
28,160,3
28,164,1
29,154,2
29,10,4
29,97,3
29,165,1
29,166,1
30,82,4
30,63,7
30,3,4
30,82,4
30,4,5
30,73,3
30,34,6
30,116,3
30,7,5
30,35,3
30,10,4
30,24,3
30,75,3
30,149,2
30,78,3
30,14,8
30,15,5
30,118,3
30,156,2
30,162,2
30,125,2
30,167,1