duracion,paginas,acciones,valor,clase
7,2,4,8,2
21,2,6,6,2
57,2,4,4,2
101,3,6,12,2
109,2,6,12,2
125,5,10,20,2
133,2,2,4,2
162,2,6,12,2
170,2,4,8,2
217,2,6,6,2
266,2,6,12,2
335,4,12,24,2
553,4,12,24,2
798,5,15,15,2
872,2,6,6,2
1.105,2,4,8,2
2.091,5,5,5,2
21,2,4,12,1
33,2,8,48,1
49,2,8,32,1
74,2,6,18,1
93,2,12,96,1
145,2,10,30,1
152,2,4,20,1
208,2,10,30,1
219,3,9,54,1
235,6,12,96,1
257,2,12,48,1
266,2,4,12,1
275,4,24,144,1
355,2,4,16,1
473,3,6,30,1
485,2,6,30,1
652,2,6,24,1
848,3,18,54,1
2,2,2,2,2
9,1,1,1,2
739,5,15,15,2
898,2,2,2,2
1.401,6,6,6,2
11,2,10,40,1
31,2,6,30,1
51,2,4,20,1
89,3,18,144,1
112,2,6,18,1
278,2,4,28,1
674,3,18,72,1
1.088,2,8,64,1
1.294,2,6,18,1
1,2,18,36,0
2,2,20,120,0
7,1,7,28,0
10,2,18,54,0
12,2,20,40,0
14,2,12,36,0
20,3,21,63,0
23,2,6,24,0
50,2,18,54,0
54,1,5,15,0
68,9,63,378,0
85,2,2,6,0
86,3,27,162,0
87,3,9,36,0
105,2,2,6,0
116,2,16,64,0
117,5,40,240,0
146,2,14,28,0
195,2,2,12,0
230,2,12,60,0
293,4,8,24,0
304,2,18,54,0
319,1,7,28,0
530,3,12,24,0
584,2,10,30,0
608,3,30,60,0
643,4,28,168,0
649,2,2,12,0
783,4,20,80,0
1.169,4,12,24,0
1.284,4,16,48,0
1.425,4,28,56,0
1.478,6,30,90,0
1.590,4,32,160,0
2.041,6,24,72,0
2.695,9,18,36,0
3.085,7,56,112,0
15,2,2,4,0
29,2,2,12,0
30,2,6,18,0
1.064,5,25,100,0
15,2,20,60,0
29,2,16,64,0
30,2,2,12,0
1.064,5,20,80,0
11,1,6,24,0
12,1,3,6,2
13,1,2,16,1
11,1,2,4,2
12,1,6,48,1
13,1,4,12,1
12,1,6,24,1
12,1,5,35,1
13,1,6,36,1
13,1,5,20,1
12,1,3,12,1
13,1,3,18,1
12,1,6,24,1
13,1,6,18,1
12,1,6,24,1
11,1,5,40,1
12,1,2,2,2
12,1,3,3,2
12,1,1,1,2
12,1,2,2,2
11,1,3,6,2
12,1,3,6,2
13,1,2,4,2
12,1,2,4,2
12,1,3,3,2
11,1,3,3,2
11,1,3,6,2
12,1,3,6,2
12,1,2,2,2
12,1,3,3,2
11,1,3,3,2
11,1,2,4,2
13,1,1,1,2
11,1,3,3,2
12,1,1,1,2
11,1,1,2,2
11,1,8,48,0
13,1,7,35,0
12,1,4,16,0
13,1,4,12,0
11,1,10,30,0
12,1,10,20,0
13,1,8,16,0
12,1,7,42,0
11,1,2,8,0
11,1,7,28,0
11,1,2,10,0
13,1,2,12,0
11,1,8,32,0
11,1,2,6,0
12,1,8,24,0
13,1,1,3,0
13,1,8,24,0
11,1,5,15,0
13,1,5,25,0
11,1,2,6,0
11,1,3,12,0
11,1,3,6,0
13,1,9,27,0
12,1,8,40,0
12,1,3,18,0
12,1,1,2,0
12,1,1,4,0
11,1,5,15,0
12,1,8,24,0
13,1,4,24,0
11,1,3,15,0
13,1,6,30,0
12,1,4,24,0
11,1,7,35,0
13,1,4,8,0
13,1,7,42,0
12,1,2,6,0
13,1,3,9,0
13,1,7,28,0
12,1,6,18,0